Asset ID,Asset No.,Date,Time(CDT),Speed(MPH),Heading,Log Reason,Distance Traveled(Miles),Lat,Lon,Zone,Address,Odometer,EXSID,Acceleration(Miles/Hour/Sec),Status Mask,Fuel Counter(Gallon),Location
151,1645,2017-03-27,1490613204,0,54.73,Motion Stop,0,38.9640163,-92.3381152,,,21677.95,,-4,9247,0.00,Solid Waste - Grissum
63,1314,2017-03-27,1490613205,36.2,359.02,Standard,0,38.9785531,-92.2795676,,,59950.7,,1,8223,0.00,Transit
148,1673,2017-03-27,1490613206,5.7,98.49,Motion Start,0,38.970971,-92.3258926,,,18192.51,,14,9247,0.00,Solid Waste - Grissum
187,1697,2017-03-27,1490613206,0,96.02,Standard,0,38.9668865,-92.3196244,Grissum Complex,,10443.98,,0,8223,0.00,Street Sweepers - Grissum
36,1299,2017-03-27,1490613207,0,181.25,Motion Stop,0,38.9546469,-92.3263933,,,113469.11,1299,0,9247,0.00,Transit
36,1299,2017-03-27,1490613208,9.4,182.36,Motion Start,0,38.9546111,-92.3263949,,,113469.12,1299,0,9247,0.00,Transit
21,1302,2017-03-27,1490613209,17.5,179.89,Standard,0,38.9646996,-92.3224213,,,1255.53,1302,0,8223,0.00,Transit
53,1317,2017-03-27,1490613211,12.4,219.58,Standard,0,38.9662143,-92.3202737,Grissum Complex,,72360.87,,0,8223,0.00,Transit
156,1823,2017-03-27,1490613214,16.7,31.68,Standard,0,39.0177165,-92.273406,,,45867.09,,-4,8223,0.00,Solid Waste - Grissum
127,1964,2017-03-27,1490613214,0,356.50,Motion Stop,0,38.9488384,-92.2998292,,,13552.21,,-13,9247,0.00,Solid Waste - Grissum
141,1942,2017-03-27,1490613215,35.2,90.66,Standard,0,38.9638757,-92.3142598,,,16326.39,,0,8223,0.00,Solid Waste - Grissum
187,1697,2017-03-27,1490613216,0,96.02,Standard,0,38.9668865,-92.3196244,Grissum Complex,,10443.98,,0,8223,0.00,Street Sweepers - Grissum
127,1964,2017-03-27,1490613218,5.5,19.03,Motion Start,0,38.9488667,-92.2998009,,,13552.22,,19,9247,0.00,Solid Waste - Grissum
46,1318,2017-03-27,1490613220,8.8,269.60,Motion Start,0,38.9640426,-92.3209315,,,100701.51,,0,9247,0.00,Transit
21,1302,2017-03-27,1490613221,0,183.67,Motion Stop,0,38.9641338,-92.3224382,,,1255.57,1302,0,9247,0.00,Transit
63,1314,2017-03-27,1490613223,18.5,347.63,Standard,0.2,38.9808357,-92.2798402,,,59950.85,,-11,8223,0.00,Transit
21,1302,2017-03-27,1490613223,7.9,202.60,Motion Start,0,38.9640899,-92.3224553,,,1255.57,1302,0,9247,0.00,Transit
187,1697,2017-03-27,1490613226,0,96.02,Standard,0,38.9668865,-92.3196244,Grissum Complex,,10443.98,,0,8223,0.00,Street Sweepers - Grissum
36,1299,2017-03-27,1490613226,8.5,130.37,Standard,0.1,38.9536542,-92.3263651,,,113469.18,1299,0,8223,0.00,Transit
63,1314,2017-03-27,1490613228,0,5.67,Motion Stop,0.2,38.9809596,-92.279842,,,59950.86,,-13,9247,0.00,Transit
53,1317,2017-03-27,1490613229,7.9,188.71,Standard,0.1,38.9653793,-92.3206833,Grissum Complex,,72360.94,,0,8223,0.00,Transit
156,1823,2017-03-27,1490613232,43.5,43.03,Standard,0.2,39.0192041,-92.271136,,,45867.25,,4,8223,0.00,Solid Waste - Grissum
63,1314,2017-03-27,1490613234,9,16.67,Motion Start,0.2,38.9810138,-92.2798186,,,59950.87,,26,9247,0.00,Transit
53,1317,2017-03-27,1490613235,0,178.75,Motion Stop,0.1,38.9652843,-92.3206855,Grissum Complex,,72360.94,,0,9247,0.00,Transit
141,1942,2017-03-27,1490613235,31.6,97.65,Standard,0.2,38.9637607,-92.3108087,,,16326.58,,0,8223,0.00,Solid Waste - Grissum
187,1697,2017-03-27,1490613236,0,96.02,Standard,0,38.9668865,-92.3196244,Grissum Complex,,10443.98,,0,8223,0.00,Street Sweepers - Grissum
187,1697,2017-03-27,1490613238,4.9,14.77,Motion Start,0,38.9669184,-92.3196219,Grissum Complex,,10443.98,,19,9247,0.00,Street Sweepers - Grissum
151,1645,2017-03-27,1490613238,0,54.73,Power Off,0,38.964014,-92.3381091,,,21677.95,,0,31,0.00,Solid Waste - Grissum
115,1812,2017-03-27,1490613241,7.3,347.48,Motion Start,0,38.9483286,-92.3271328,,,7337.84,,21,9247,0.00,Solid Waste - Grissum
21,1302,2017-03-27,1490613241,15.4,270.34,Standard,0.2,38.964072,-92.3244661,,,1255.68,1302,0,8223,0.00,Transit
127,1964,2017-03-27,1490613243,0,232.95,Motion Stop,0,38.949027,-92.2997144,,,13552.25,,-4,9247,0.00,Solid Waste - Grissum
36,1299,2017-03-27,1490613244,11.2,193.65,Standard,0.1,38.9533184,-92.3253145,,,113469.25,1299,0,8223,0.00,Transit
151,1645,2017-03-27,1490613244,0,73.05,"Power On, Motion Stop",0,38.9640238,-92.3380964,,,21677.95,,2,9247,0.00,Solid Waste - Grissum
21,1302,2017-03-27,1490613246,0,274.41,Motion Stop,0.2,38.9640736,-92.3246084,,,1255.69,1302,0,9247,0.00,Transit
151,1645,2017-03-27,1490613246,4.6,97.16,Motion Start,0,38.9640134,-92.338063,,,21677.95,,6,9247,0.00,Solid Waste - Grissum
187,1697,2017-03-27,1490613248,7.8,105.05,Standard,0,38.9670839,-92.3194632,Grissum Complex,,10444,,0,8223,0.00,Street Sweepers - Grissum
156,1823,2017-03-27,1490613250,14.9,55.88,Standard,0.3,39.0213625,-92.2692634,,,45867.43,,-15,8223,0.00,Solid Waste - Grissum
141,1942,2017-03-27,1490613253,11.1,8.36,Standard,0.3,38.9640121,-92.3089775,,,16326.69,,-3,8223,0.00,Solid Waste - Grissum
187,1697,2017-03-27,1490613255,0,81.84,Motion Stop,0,38.9670981,-92.3192988,Grissum Complex,,10444.01,,-11,9247,0.00,Street Sweepers - Grissum
36,1299,2017-03-27,1490613256,0,234.39,Motion Stop,0.2,38.9532663,-92.3258759,,,113469.28,1299,0,9247,0.00,Transit
