Asset ID,Asset No.,Date,Time(CDT),Speed(MPH),Heading,Log Reason,Distance Traveled(Miles),Lat,Lon,Zone,Address,Odometer,EXSID,Acceleration(Miles/Hour/Sec),Status Mask,Fuel Counter(Gallon),Location
27,1808,2017-03-27,1490613436,0,159.18,Power On,0,38.9660872,-92.3191969,Grissum Complex,,96016.77,1808,0,8223,0.00,Transit
187,1697,2017-03-27,1490613436,5.3,196.60,Standard,0,38.9654352,-92.3193393,Grissum Complex,,10444.15,,-2,8223,0.00,Street Sweepers - Grissum
18,1305,2017-03-27,1490613437,10.1,85.45,Standard,0,38.9649981,-92.3187878,,,110898.42,1305,0,8223,0.00,Transit
62,1320,2017-03-27,1490613437,6.5,270.75,Motion Start,0,38.9362212,-92.3597116,,,63481.03,,30,9247,0.00,Transit
151,1645,2017-03-27,1490613438,10.8,113.92,Standard,0,38.9592207,-92.3327694,,,21678.55,,0,8223,0.00,Solid Waste - Grissum
166,1948,2017-03-27,1490613438,0,266.50,Motion Stop,0,38.9639319,-92.3608154,,,12679.62,,-9,9247,0.00,Solid Waste - Grissum
22,1304,2017-03-27,1490613441,0,168.13,Motion Stop,0,38.9650738,-92.3190824,Grissum Complex,,115444.13,1304,0,9247,0.00,Transit
187,1697,2017-03-27,1490613442,0,284.34,Motion Stop,0,38.9653785,-92.3194544,Grissum Complex,,10444.16,,-9,9247,0.00,Street Sweepers - Grissum
22,1304,2017-03-27,1490613443,6,140.38,Motion Start,0,38.9650506,-92.3190578,,,115444.13,1304,0,9247,0.00,Transit
63,1314,2017-03-27,1490613445,19.4,100.93,Standard,0,38.9870092,-92.2533358,,,59952.52,,1,8223,0.00,Transit
141,1942,2017-03-27,1490613446,16.2,37.46,Standard,0,38.9685741,-92.3068644,,,16327.05,,-6,8223,0.00,Solid Waste - Grissum
10,1893,2017-03-27,1490613446,6.4,269.98,Motion Start,0,38.9640826,-92.3245798,,,86462.47,1893,0,9247,0.00,Transit
237,AUTO 8796028,2017-03-27,1490613447,39.1,141.41,Standard,0,39.075416,-92.6360211,,,970.34,,-18,8223,0.00,UNKNOWN
148,1673,2017-03-27,1490613448,37,48.82,Standard,0,38.9805213,-92.2940017,,,18194.5,,-2,8223,0.00,Solid Waste - Grissum
127,1964,2017-03-27,1490613448,2.3,78.34,Motion Start,0,38.9487916,-92.2978252,,,13552.49,,13,9247,0.00,Solid Waste - Grissum
156,1823,2017-03-27,1490613449,31.3,181.17,Standard,0,39.0131988,-92.2541199,,,45868.67,,4,8223,0.00,Solid Waste - Grissum
187,1697,2017-03-27,1490613452,0,284.34,Standard,0,38.9653785,-92.3194544,Grissum Complex,,10444.16,,0,8223,0.00,Street Sweepers - Grissum
53,1317,2017-03-27,1490613453,10,280.21,Motion Start,0,38.9646285,-92.3336498,,,72361.71,,0,9247,0.00,Transit
29,1303,2017-03-27,1490613454,3.2,103.39,Motion Start,0,38.9656985,-92.3194924,Grissum Complex,,115846.62,1303,0,9247,0.00,Transit
62,1320,2017-03-27,1490613454,0,299.69,Motion Stop,0,38.9364039,-92.3603637,,,63481.06,,0,9247,0.00,Transit
141,1942,2017-03-27,1490613455,0,124.88,Motion Stop,0,38.9685054,-92.3065271,,,16327.07,,-17,9247,0.00,Solid Waste - Grissum
18,1305,2017-03-27,1490613455,16.6,182.50,Standard,0,38.9645931,-92.3182831,,,110898.47,1305,0,8223,0.00,Transit
151,1645,2017-03-27,1490613456,5.3,358.64,Standard,0.1,38.9595336,-92.3322669,,,21678.6,,-10,8223,0.00,Solid Waste - Grissum
30,1664,2017-03-27,1490613456,3.8,163.34,Motion Start,0,38.9659819,-92.319285,Grissum Complex,,88339.73,1664,0,9247,0.00,Transit
62,1320,2017-03-27,1490613458,7.3,293.20,Motion Start,0,38.936415,-92.3604056,,,63481.06,,17,9247,0.00,Transit
151,1645,2017-03-27,1490613459,0,356.98,Motion Stop,0.1,38.9595571,-92.3322618,,,21678.6,,-7,9247,0.00,Solid Waste - Grissum
237,AUTO 8796028,2017-03-27,1490613459,0,176.67,Motion Stop,0,39.074726,-92.6355748,,,970.39,,-22,9247,0.00,UNKNOWN
157,1419,2017-03-27,1490613460,4.6,274.12,Motion Start,0,38.9432216,-92.3324771,,,13287.33,,13,9247,0.00,Solid Waste - Grissum
115,1812,2017-03-27,1490613460,4.4,359.00,Standard,0,38.9483244,-92.3275523,,,7338.04,,-12,8223,0.00,Solid Waste - Grissum
22,1304,2017-03-27,1490613461,14.2,187.78,Standard,0.1,38.9647654,-92.3182681,,,115444.18,1304,0,8223,0.00,Transit
115,1812,2017-03-27,1490613462,0,355.51,Motion Stop,0,38.9483392,-92.3275531,,,7338.04,,-12,9247,0.00,Solid Waste - Grissum
187,1697,2017-03-27,1490613462,0,284.34,Standard,0,38.9653785,-92.3194544,Grissum Complex,,10444.16,,0,8223,0.00,Street Sweepers - Grissum
29,1303,2017-03-27,1490613463,0,153.14,Motion Stop,0,38.9656486,-92.3191721,Grissum Complex,,115846.63,1303,0,9247,0.00,Transit
63,1314,2017-03-27,1490613463,5.4,114.23,Standard,0.1,38.9871758,-92.2518031,,,59952.61,,-15,8223,0.00,Transit
31,1810,2017-03-27,1490613463,5.2,199.44,Motion Start,0,38.9657257,-92.3192384,Grissum Complex,,122322.51,1810,0,9247,0.00,Transit
29,1303,2017-03-27,1490613465,4.5,172.00,Motion Start,0,38.9656,-92.3191294,Grissum Complex,,115846.64,1303,0,9247,0.00,Transit
18,1305,2017-03-27,1490613465,0,178.73,Motion Stop,0.1,38.9641038,-92.3183082,,,110898.5,1305,0,9247,0.00,Transit
148,1673,2017-03-27,1490613466,10.6,306.04,Standard,0.1,38.9814501,-92.2928203,,,18194.61,,0,8223,0.00,Solid Waste - Grissum
18,1305,2017-03-27,1490613466,3.3,178.46,Motion Start,0.1,38.9640902,-92.3183149,,,110898.5,1305,0,9247,0.00,Transit
156,1823,2017-03-27,1490613467,4.1,235.18,Standard,0.1,39.0124416,-92.2548249,,,45868.76,,-13,8223,0.00,Solid Waste - Grissum
237,AUTO 8796028,2017-03-27,1490613467,0,176.67,Power Off,0,39.0747257,-92.6355737,,,970.39,,0,31,0.00,UNKNOWN
30,1664,2017-03-27,1490613467,0,118.49,Motion Stop,0,38.9657703,-92.3192261,Grissum Complex,,88339.74,1664,0,9247,0.00,Transit
18,1305,2017-03-27,1490613468,0,178.67,Motion Stop,0.1,38.96408,-92.3183359,,,110898.5,1305,0,9247,0.00,Transit
156,1823,2017-03-27,1490613469,0,81.01,Motion Stop,0.1,39.0124394,-92.2548275,,,45868.76,,-14,9247,0.00,Solid Waste - Grissum
148,1673,2017-03-27,1490613471,0,274.38,Motion Stop,0.1,38.9814689,-92.292939,,,18194.61,,-14,9247,0.00,Solid Waste - Grissum
31,1810,2017-03-27,1490613471,0,150.82,Motion Stop,0,38.9657004,-92.319244,Grissum Complex,,122322.51,1810,0,9247,0.00,Transit
18,1305,2017-03-27,1490613471,6.3,173.39,Motion Start,0.1,38.9640464,-92.3183388,,,110898.51,1305,0,9247,0.00,Transit
156,1823,2017-03-27,1490613472,7.1,63.38,Motion Start,0.1,39.0124577,-92.2547334,,,45868.76,,14,9247,0.00,Solid Waste - Grissum
187,1697,2017-03-27,1490613472,0,284.34,Standard,0,38.9653785,-92.3194544,Grissum Complex,,10444.16,,0,8223,0.00,Street Sweepers - Grissum
46,1318,2017-03-27,1490613476,0,271.22,Power On,0,38.9533088,-92.3257291,,,100702.45,,0,8223,0.00,Transit
166,1948,2017-03-27,1490613479,6.3,269.59,Motion Start,0,38.9639205,-92.3607686,,,12679.62,,10,9247,0.00,Solid Waste - Grissum
22,1304,2017-03-27,1490613480,0,177.80,Motion Stop,0.1,38.9640854,-92.3183225,,,115444.23,1304,0,9247,0.00,Transit
157,1419,2017-03-27,1490613480,7,204.37,Standard,0,38.9428279,-92.333015,,,13287.37,,-6,8223,0.00,Solid Waste - Grissum
63,1314,2017-03-27,1490613481,18.5,209.10,Standard,0.2,38.9861056,-92.2522417,,,59952.69,,-2,8223,0.00,Transit
156,1823,2017-03-27,1490613481,0,0.25,Motion Stop,0.1,39.0125957,-92.2546526,,,45868.77,,-6,9247,0.00,Solid Waste - Grissum
187,1697,2017-03-27,1490613482,0,284.34,Standard,0,38.9653785,-92.3194544,Grissum Complex,,10444.16,,0,8223,0.00,Street Sweepers - Grissum
30,1664,2017-03-27,1490613482,5.2,161.71,Motion Start,0,38.965712,-92.3191922,Grissum Complex,,88339.74,1664,0,9247,0.00,Transit
22,1304,2017-03-27,1490613484,9.5,145.95,Motion Start,0.1,38.9640491,-92.3182913,,,115444.24,1304,0,9247,0.00,Transit
31,1810,2017-03-27,1490613488,3.8,117.98,Motion Start,0,38.9656937,-92.3191822,Grissum Complex,,122322.51,1810,0,9247,0.00,Transit
187,1697,2017-03-27,1490613492,0,284.34,Standard,0,38.9653785,-92.3194544,Grissum Complex,,10444.16,,0,8223,0.00,Street Sweepers - Grissum
63,1314,2017-03-27,1490613493,0,180.27,Motion Stop,0.2,38.9856542,-92.2524024,,,59952.73,,-6,9247,0.00,Transit
20,1663,2017-03-27,1490613493,5.5,219.20,Motion Start,0,38.9658086,-92.319941,Grissum Complex,,75371.55,1663,0,9247,0.00,Transit
