Asset ID,Asset No.,Date,Time(CDT),Speed(MPH),Heading,Log Reason,Distance Traveled(Miles),Lat,Lon,Zone,Address,Odometer,EXSID,Acceleration(Miles/Hour/Sec),Status Mask,Fuel Counter(Gallon),Location
28,1301,2017-03-23,1490291370,7.3,271.51,Motion Start,0,38.9375814,-92.3251039,,,2235.4,1301,0,9247,0.00,Transit
53,1317,2017-03-23,1490291371,16.4,29.74,Standard,0,38.9376299,-92.3594424,,,72033.05,,0,8223,0.00,Transit
77,1243,2017-03-23,1490291371,0,279.68,Standard,0,38.8968145,-92.3460989,,,53348.57,,0,8429598,"13,631.94",Street - Grissum
124,1908,2017-03-23,1490291371,45.5,50.46,Standard,0,38.9028854,-92.4606318,,,22442.27,,-3,8223,0.00,Sewer - WWTP
101,1547,2017-03-23,1490291371,12.5,203.61,Standard,0,38.9649616,-92.3223625,,,15719.39,,-8,8223,0.00,Street - Grissum
104,1551,2017-03-23,1490291372,0,289.16,Standard,0,38.8968335,-92.3463498,,,12946.38,,0,8223,0.00,Street - Grissum
122,1636,2017-03-23,1490291372,14,42.00,Standard,0,38.9651414,-92.3195145,Grissum Complex,,10242.47,,-10,8223,0.00,Street - Grissum
126,1957,2017-03-23,1490291372,22.2,177.15,Standard,0,38.9115824,-92.2851548,,,38216.94,,5,8223,0.00,Solid Waste - Grissum
52,1966,2017-03-23,1490291374,0,272.71,Motion Stop,0,38.9596074,-92.3540595,,,96663.36,,-9,1090591,"24,561.26",Transit
128,1878,2017-03-23,1490291375,51.1,204.93,Standard,0,39.009665,-92.2732216,,,17862.05,,2,8223,0.00,Solid Waste - Grissum
215,204,2017-03-23,1490291376,7.5,126.28,Motion Start,0,38.9650576,-92.3206713,,,540.59,,26,9247,0.00,Water Distribution
141,1942,2017-03-23,1490291376,62,278.00,Standard,0,38.9681602,-92.3131147,,,16171.9,,1,8223,0.00,Solid Waste - Grissum
233,AUTO_8796594,2017-03-23,1490291376,9.6,277.58,Motion Start,0,38.9521514,-92.3527157,,,282.24,,24,9247,0.00,UNKNOWN
241,AUTO 8796593,2017-03-23,1490291376,11.3,275.24,Motion Start,0,39.00111,-92.3166549,,,390.72,,21,9247,0.00,UNKNOWN
28,1301,2017-03-23,1490291377,0,270.51,Motion Stop,0,38.9375782,-92.3253386,,,2235.41,1301,0,9247,0.00,Transit
99,1546,2017-03-23,1490291377,0,82.32,Standard,0,38.9653515,-92.3204077,Grissum Complex,,9392.9,,0,8223,0.00,Street - Grissum
131,1652,2017-03-23,1490291378,5.2,337.66,Motion Start,0,38.9735795,-92.2726516,,,14824,,17,9247,0.00,Solid Waste - Grissum
53,1317,2017-03-23,1490291378,0,17.14,Motion Stop,0,38.9378139,-92.3593491,,,72033.06,,0,9247,0.00,Transit
