Asset ID,Asset No.,Date,Time(CDT),Speed(MPH),Heading,Log Reason,Distance Traveled(Miles),Lat,Lon,Zone,Address,Odometer,EXSID,Acceleration(Miles/Hour/Sec),Status Mask,Fuel Counter(Gallon),Location
151,1645,2017-03-27,1490613903,0,183.23,"Power On, Motion Stop",0,38.9545922,-92.3258459,,,21679.33,,-5,9247,0.00,Solid Waste - Grissum
1,1665,2017-03-27,1490613905,7.9,178.76,Motion Start,0,38.9568513,-92.38449,Smithton,,102449.91,1665,20,9247,0.00,Transit
36,1299,2017-03-27,1490613909,29.1,4.10,Standard,0,38.9822318,-92.3259949,,,113471.4,1299,0,8223,0.00,Transit
30,1664,2017-03-27,1490613910,0,242.37,Motion Stop,0,38.9484762,-92.2961901,,,88342.33,1664,0,9247,0.00,Transit
46,1318,2017-03-27,1490613911,12.3,92.04,Standard,0,38.9749794,-92.321989,,,100704.3,,0,8223,0.00,Transit
28,1301,2017-03-27,1490613914,0,270.42,Motion Stop,0,38.9639762,-92.3210114,,,2472.11,1301,0,9247,0.00,Transit
47,1319,2017-03-27,1490613916,0,326.88,Motion Stop,0,38.968413,-92.2800811,,,93246.76,,0,9247,0.00,Transit
157,1419,2017-03-27,1490613918,5.3,9.31,Standard,0,38.9445653,-92.3322728,,,13287.8,,5,8223,0.00,Solid Waste - Grissum
29,1303,2017-03-27,1490613918,6.8,229.19,Motion Start,0,38.9484126,-92.2964211,,,115849.24,1303,0,9247,0.00,Transit
128,1878,2017-03-27,1490613920,17,256.22,Standard,0,38.963765,-92.3253063,,,17971.51,,6,8223,0.00,Solid Waste - Grissum
127,1964,2017-03-27,1490613920,4.6,13.60,Motion Start,0,38.9476127,-92.2951605,,,13553.06,,7,9247,0.00,Solid Waste - Grissum
141,1942,2017-03-27,1490613920,5.7,127.17,Motion Start,0,38.9674188,-92.307253,,,16327.82,,12,9247,0.00,Solid Waste - Grissum
46,1318,2017-03-27,1490613925,0,101.00,Motion Stop,0,38.9749529,-92.3214819,,,100704.32,,0,9247,0.00,Transit
1,1665,2017-03-27,1490613925,8.1,185.18,Standard,0.1,38.9553203,-92.3846951,Smithton,,102450.01,1665,-6,8223,0.00,Transit
36,1299,2017-03-27,1490613927,34.5,90.16,Standard,0.1,38.9826409,-92.3240052,,,113471.53,1299,0,8223,0.00,Transit
21,1302,2017-03-27,1490613928,12.2,180.27,Motion Start,0,38.9103187,-92.3349425,,,1260.1,1302,0,9247,0.00,Transit
1,1665,2017-03-27,1490613928,0,187.98,Motion Stop,0.1,38.9552867,-92.3847095,Smithton,,102450.01,1665,-12,9247,0.00,Transit
53,1317,2017-03-27,1490613930,13.1,181.26,Motion Start,0,38.9105423,-92.3349348,,,72365.62,,0,9247,0.00,Transit
157,1419,2017-03-27,1490613936,0,103.73,Motion Stop,0.1,38.9445708,-92.3311631,,,13287.86,,-10,9247,0.00,Solid Waste - Grissum
29,1303,2017-03-27,1490613936,26.2,256.11,Standard,0.1,38.9480378,-92.2984509,,,115849.35,1303,0,8223,0.00,Transit
157,1419,2017-03-27,1490613938,5.9,73.37,Motion Start,0.1,38.9445839,-92.3311104,,,13287.87,,8,9247,0.00,Solid Waste - Grissum
128,1878,2017-03-27,1490613938,0,298.30,Motion Stop,0,38.9637724,-92.3261861,,,17971.55,,-8,9247,0.00,Solid Waste - Grissum
141,1942,2017-03-27,1490613939,11,118.53,Standard,0.1,38.9669623,-92.3065022,,,16327.88,,5,8223,0.00,Solid Waste - Grissum
28,1301,2017-03-27,1490613939,7.4,254.71,Motion Start,0,38.9639655,-92.3210806,,,2472.11,1301,0,9247,0.00,Transit
167,1960,2017-03-27,1490613943,6,100.67,Motion Start,0,39.0145553,-92.2555654,,,33486.01,,19,9247,0.00,Solid Waste - Grissum
36,1299,2017-03-27,1490613945,33.5,63.79,Standard,0.3,38.9832643,-92.321022,,,113471.7,1299,0,8223,0.00,Transit
148,1673,2017-03-27,1490613947,6.9,187.58,Motion Start,0,38.9871035,-92.2962596,,,18195.3,,9,9247,0.00,Solid Waste - Grissum
30,1664,2017-03-27,1490613953,8.2,244.44,Motion Start,0,38.9484398,-92.2963393,,,88342.34,1664,0,9247,0.00,Transit
29,1303,2017-03-27,1490613954,7,186.15,Standard,0.2,38.9471321,-92.2996201,,,115849.45,1303,0,8223,0.00,Transit
29,1303,2017-03-27,1490613957,0,182.99,Motion Stop,0.2,38.9471109,-92.2996129,,,115849.45,1303,0,9247,0.00,Transit
141,1942,2017-03-27,1490613957,0,351.43,Motion Stop,0.1,38.9670653,-92.3060205,,,16327.91,,-12,9247,0.00,Solid Waste - Grissum
1,1665,2017-03-27,1490613960,7.8,183.73,Motion Start,0.1,38.9552263,-92.3847363,Smithton,,102450.02,1665,28,9247,0.00,Transit
