Asset ID,Asset No.,Date,Time(CDT),Speed(MPH),Heading,Log Reason,Distance Traveled(Miles),Lat,Lon,Zone,Address,Odometer,EXSID,Acceleration(Miles/Hour/Sec),Status Mask,Fuel Counter(Gallon),Location
167,1960,2017-03-27,1490613735,38.1,90.16,Standard,0,39.0210341,-92.2648159,,,33485.18,,0,8223,0.00,Solid Waste - Grissum
237,AUTO 8796028,2017-03-27,1490613735,0,150.67,Motion Stop,0,39.0747176,-92.6356114,,,970.41,,0,9247,0.00,UNKNOWN
247,AUTO 8796587,2017-03-27,1490613737,56.5,165.22,Standard,0,39.1052655,-92.4385712,,,120.47,,-11,8223,0.00,UNKNOWN
31,1810,2017-03-27,1490613739,0,160.74,Power Off,0,38.9534229,-92.3253812,,,122323.76,1810,0,31,0.00,Transit
151,1645,2017-03-27,1490613743,0,17.10,"Power Off, Motion Stop",0,38.9576751,-92.3280944,,,21679,,0,1055,0.00,Solid Waste - Grissum
237,AUTO 8796028,2017-03-27,1490613744,0,150.67,Power Off,0,39.0747176,-92.6356114,,,970.41,,0,31,0.00,UNKNOWN
30,1664,2017-03-27,1490613745,0,143.38,Motion Stop,0,38.9496771,-92.3107681,,,88341.35,1664,0,9247,0.00,Transit
19,1306,2017-03-27,1490613746,6.8,187.26,Standard,0,38.9655569,-92.3193306,Grissum Complex,,106372.33,1306,0,8223,0.00,Transit
151,1645,2017-03-27,1490613750,0,205.18,"Power On, Motion Stop",0,38.9576573,-92.3281025,,,21679,,5,9247,0.00,Solid Waste - Grissum
30,1664,2017-03-27,1490613752,8.6,141.43,Motion Start,0,38.9496413,-92.3107407,,,88341.36,1664,0,9247,0.00,Transit
36,1299,2017-03-27,1490613753,9.6,0.81,Motion Start,0,38.9638473,-92.3247574,,,113470.11,1299,0,9247,0.00,Transit
141,1942,2017-03-27,1490613753,4.8,336.69,Motion Start,0,38.9711751,-92.3034498,,,16327.42,,5,9247,0.00,Solid Waste - Grissum
167,1960,2017-03-27,1490613753,29.5,148.31,Standard,0.2,39.0204214,-92.2620272,,,33485.34,,0,8223,0.00,Solid Waste - Grissum
19,1306,2017-03-27,1490613760,0,187.01,Motion Stop,0,38.9652847,-92.3194111,Grissum Complex,,106372.35,1306,0,9247,0.00,Transit
115,1812,2017-03-27,1490613765,15.1,270.55,Standard,0,38.9484997,-92.3281357,,,7338.08,,0,8223,0.00,Solid Waste - Grissum
19,1306,2017-03-27,1490613769,6.2,215.70,Motion Start,0,38.9652102,-92.3194689,Grissum Complex,,106372.36,1306,0,9247,0.00,Transit
115,1812,2017-03-27,1490613770,0,267.89,Motion Stop,0,38.9485401,-92.328325,,,7338.08,,-13,9247,0.00,Solid Waste - Grissum
137,1222,2017-03-27,1490613776,3.9,65.47,Motion Start,0,38.9524206,-92.3244159,,,6508.31,,14,9247,0.00,Parking - 5th & Walnut
