Asset ID,Asset No.,Date,Time(CDT),Speed(MPH),Heading,Log Reason,Distance Traveled(Miles),Lat,Lon,Zone,Address,Odometer,EXSID,Acceleration(Miles/Hour/Sec),Status Mask,Fuel Counter(Gallon),Location
22,1304,2017-03-23,1490290608,36.2,1.14,Standard,0,38.9913215,-92.302351,,,114867.14,1304,0,8223,0.00,Transit
159,1945,2017-03-23,1490290608,36.6,321.16,Standard,0,39.0153648,-92.2608446,,,11032.13,,13,8223,0.00,Solid Waste - Grissum
111,1440,2017-03-23,1490290608,0,276.24,Standard,0,38.896755,-92.3459654,,,11978.04,,0,8223,0.00,Street - Grissum
145,1653,2017-03-23,1490290608,0,179.29,Motion Stop,0,38.9716831,-92.2713726,,,14915.89,,-10,9247,0.00,Solid Waste - Grissum
100,1545,2017-03-23,1490290608,4.7,265.15,Motion Start,0,38.9902536,-92.3045948,,,11609.11,,6,9247,0.00,Street - Grissum
10,1893,2017-03-23,1490290609,30.2,183.15,Standard,0,38.9183977,-92.4000698,,,85922.69,1893,0,8223,0.00,Transit
156,1823,2017-03-23,1490290609,37.7,326.52,Standard,0,38.9505661,-92.3115369,,,45648.4,,4,8223,0.00,Solid Waste - Grissum
104,1551,2017-03-23,1490290610,47.9,98.12,Standard,0,38.9119615,-92.391731,,,12943.03,,1,8223,0.00,Street - Grissum
86,1989,2017-03-23,1490290610,47,339.16,Standard,0,38.972177,-92.3261937,,,26646.32,,2,8429599,"6,936.37",Street - Grissum
24,1809,2017-03-23,1490290610,9.7,54.56,Motion Start,0,38.9607139,-92.3314769,,,107357.97,1809,0,9247,0.00,Transit
101,1547,2017-03-23,1490290610,28.5,175.58,Standard,0,38.9684872,-92.3249654,,,15718.55,,27,8223,0.00,Street - Grissum
77,1243,2017-03-23,1490290611,0,279.68,Standard,0,38.8968145,-92.3460989,,,53348.57,,0,8429598,"13,631.81",Street - Grissum
126,1957,2017-03-23,1490290611,47.1,270.74,Standard,0,39.0210748,-92.2648553,,,38207.98,,3,8223,0.00,Solid Waste - Grissum
31,1810,2017-03-23,1490290612,39.8,2.39,Standard,0,38.9308881,-92.2897083,,,121703.4,1810,0,8223,0.00,Transit
139,1932,2017-03-23,1490290612,0,282.42,Standard,0,38.8968377,-92.3463895,,,17631.68,,0,8223,0.00,Street - Grissum
162,1839,2017-03-23,1490290613,0,200.29,Motion Stop,0,39.0126466,-92.2546679,,,10482.91,,0,9247,0.00,Solid Waste - Grissum
122,1636,2017-03-23,1490290614,5.2,3.12,Standard,0,38.9537377,-92.3930144,,,10236.27,,-10,8223,0.00,Street - Grissum
96,1633,2017-03-23,1490290614,14.6,271.88,Standard,0,38.953681,-92.3313844,,,6499.1,,-6,8223,0.00,Street - Grissum
19,1306,2017-03-23,1490290615,0,229.34,Motion Stop,0,38.9660041,-92.3194062,Grissum Complex,,106264.44,1306,0,9247,0.00,Transit
9,1886,2017-03-23,1490290615,0,92.65,Motion Stop,0,38.9421437,-92.3263027,,,23595.75,1886,0,9247,0.00,Transit
37,1296,2017-03-23,1490290615,7,177.36,Motion Start,0,38.9350689,-92.3595489,,,52332.49,1296,0,9247,0.00,Transit
239,516,2017-03-23,1490290615,19.7,182.72,Standard,0,38.9570992,-92.3215956,,,128.08,,-7,8223,0.00,Electric Distribution
28,1301,2017-03-23,1490290615,0,100.81,Motion Stop,0,38.9566531,-92.3166742,,,2233.3,1301,0,9247,0.00,Transit
128,1878,2017-03-23,1490290616,19.1,38.15,Standard,0,39.015157,-92.2482832,,,17859.02,,0,8223,0.00,Solid Waste - Grissum
122,1636,2017-03-23,1490290617,0,5.63,Motion Stop,0,38.9537652,-92.3930156,,,10236.27,,-5,9247,0.00,Street - Grissum
100,1545,2017-03-23,1490290618,0.5,237.52,Standard,0,38.9901929,-92.3048931,,,11609.13,,-9,8223,0.00,Street - Grissum
111,1440,2017-03-23,1490290618,0,276.24,Standard,0,38.896755,-92.3459654,,,11978.04,,0,8223,0.00,Street - Grissum
100,1545,2017-03-23,1490290619,0,237.52,Motion Stop,0,38.9901927,-92.3048962,,,11609.13,,-11,9247,0.00,Street - Grissum
122,1636,2017-03-23,1490290619,9.1,2.91,Motion Start,0,38.9538148,-92.3930177,,,10236.28,,26,9247,0.00,Street - Grissum
141,1942,2017-03-23,1490290619,11.8,106.52,Standard,0,39.0166553,-92.2496437,,,16164.28,,4,8223,0.00,Solid Waste - Grissum
104,1551,2017-03-23,1490290620,49,98.04,Standard,0.1,38.911683,-92.3892252,,,12943.16,,0,8223,0.00,Street - Grissum
101,1547,2017-03-23,1490290620,32.1,169.51,Standard,0.1,38.9674945,-92.3247179,,,15718.62,,8,8223,0.00,Street - Grissum
86,1989,2017-03-23,1490290620,48.8,2.40,Standard,0.1,38.9740682,-92.3265576,,,26646.45,,0,8429599,"6,936.50",Street - Grissum
3,1897,2017-03-23,1490290621,26.4,359.46,Standard,0,38.9559924,-92.3341049,,,5844.69,1897,0,8223,0.00,Transit
77,1243,2017-03-23,1490290621,0,279.68,Standard,0,38.8968145,-92.3460989,,,53348.57,,0,8429598,"13,631.81",Street - Grissum
215,204,2017-03-23,1490290621,10.2,39.69,Standard,0,38.9657174,-92.320606,Grissum Complex,,540.48,,-10,8223,0.00,Water Distribution
96,1633,2017-03-23,1490290621,0,271.90,Motion Stop,0,38.9536859,-92.3316146,,,6499.1,,-7,9247,0.00,Street - Grissum
