Asset ID,Asset No.,Date,Time(CDT),Speed(MPH),Heading,Log Reason,Distance Traveled(Miles),Lat,Lon,Zone,Address,Odometer,EXSID,Acceleration(Miles/Hour/Sec),Status Mask,Fuel Counter(Gallon),Location
18,1305,2017-03-23,1490268886,20.7,100.49,Standard,0,38.9638539,-92.3104948,,,110726.35,1305,0,8223,0.00,Transit
11,1891,2017-03-23,1490268887,0,200.19,Motion Stop,0,38.9370877,-92.3072836,,,38914.19,1891,0,9247,0.00,Transit
47,1319,2017-03-23,1490268888,40.2,271.80,Standard,0,38.9638627,-92.2780122,,,92800.23,,0,8223,0.00,Transit
44,1938,2017-03-23,1490268888,36.4,261.73,Standard,0,38.9855062,-92.2726035,,,48796.63,1938,0,8223,0.00,Transit
10,1893,2017-03-23,1490268891,25.1,8.35,Standard,0,38.9634236,-92.3675699,,,85832.32,1893,0,8223,0.00,Transit
25,1661,2017-03-23,1490268891,6.6,180.44,Standard,0,38.9651267,-92.3190597,Grissum Complex,,89565.78,1661,0,8223,0.00,Transit
151,1645,2017-03-23,1490268891,9.1,274.34,Standard,0,38.949575,-92.3306158,,,21549.11,,-7,8223,0.00,Solid Waste - Grissum
166,1948,2017-03-23,1490268892,18.5,275.76,Standard,0,38.9574606,-92.370414,,,12449.37,,-4,8223,0.00,Solid Waste - Grissum
115,1812,2017-03-23,1490268892,10,3.04,Motion Start,0,38.9492043,-92.3286597,,,7298.09,,25,9247,0.00,Solid Waste - Grissum
24,1809,2017-03-23,1490268893,0,98.65,Motion Stop,0,38.9604222,-92.3288549,,,107275.08,1809,0,9247,0.00,Transit
21,1302,2017-03-23,1490268896,30.1,6.97,Standard,0,38.8916022,-92.3536744,,,906.93,1302,0,8223,0.00,Transit
237,AUTO 8796028,2017-03-23,1490268896,64.4,73.25,Standard,0,38.9687421,-92.3458443,,,740.24,,0,8223,0.00,UNKNOWN
52,1966,2017-03-23,1490268897,6,215.82,Motion Start,0,38.9567883,-92.3209061,,,96576.93,,13,42015,"24,541.06",Transit
1,1665,2017-03-23,1490268898,0,99.45,Motion Stop,0,38.94952,-92.331035,,,102213.15,1665,0,9247,0.00,Transit
130,1968,2017-03-23,1490268898,6.6,143.53,Motion Start,0,38.9331971,-92.2908845,,,18197.17,,17,9247,0.00,Solid Waste - Grissum
