1657,1462805920,234.20,4.8,on,-92.2588821,38.9679798
1697,1462805923,286.60,8.8,on,-92.2693006,38.9729931
1657,1462805920,234.20,4.8,on,-92.2588821,38.9679798
1697,1462805923,286.60,8.8,on,-92.2693006,38.9729931
1657,1462805920,234.20,4.8,on,-92.2588821,38.9679798
1697,1462805923,286.60,8.8,on,-92.2693006,38.9729931
1657,1462805920,234.20,4.8,on,-92.2588821,38.9679798
1697,1462805923,286.60,8.8,on,-92.2693006,38.9729931
1657,1462805920,234.20,4.8,on,-92.2588821,38.9679798
1697,1462805923,286.60,8.8,on,-92.2693006,38.9729931
1657,1462805930,237.80,5.1,on,-92.2591073,38.9678577
1697,1462805923,286.60,8.8,on,-92.2693006,38.9729931
1657,1462805930,237.80,5.1,on,-92.2591073,38.9678577
1697,1462805923,286.60,8.8,on,-92.2693006,38.9729931
1657,1462805930,237.80,5.1,on,-92.2591073,38.9678577
1697,1462805923,286.60,8.8,on,-92.2693006,38.9729931
1657,1462805930,237.80,5.1,on,-92.2591073,38.9678577
1697,1462805933,245.00,19.6,on,-92.2700748,38.9727875
1657,1462805930,237.80,5.1,on,-92.2591073,38.9678577
1697,1462805933,245.00,19.6,on,-92.2700748,38.9727875
1657,1462805930,237.80,5.1,on,-92.2591073,38.9678577
1697,1462805933,245.00,19.6,on,-92.2700748,38.9727875
1657,1462805930,237.80,5.1,on,-92.2591073,38.9678577
1697,1462805933,245.00,19.6,on,-92.2700748,38.9727875
1657,1462805930,237.80,5.1,on,-92.2591073,38.9678577
1697,1462805933,245.00,19.6,on,-92.2700748,38.9727875
1657,1462805930,237.80,5.1,on,-92.2591073,38.9678577
1697,1462805933,245.00,19.6,on,-92.2700748,38.9727875
1657,1462805940,323.70,4.8,on,-92.2592875,38.9679664
1697,1462805933,245.00,19.6,on,-92.2700748,38.9727875
1657,1462805940,323.70,4.8,on,-92.2592875,38.9679664
1697,1462805933,245.00,19.6,on,-92.2700748,38.9727875
1657,1462805940,323.70,4.8,on,-92.2592875,38.9679664
1697,1462805933,245.00,19.6,on,-92.2700748,38.9727875
1657,1462805940,323.70,4.8,on,-92.2592875,38.9679664
1697,1462805943,243.10,20.6,on,-92.2709868,38.9724514
1657,1462805940,323.70,4.8,on,-92.2592875,38.9679664
1697,1462805943,243.10,20.6,on,-92.2709868,38.9724514
1657,1462805940,323.70,4.8,on,-92.2592875,38.9679664
1697,1462805943,243.10,20.6,on,-92.2709868,38.9724514
1657,1462805940,323.70,4.8,on,-92.2592875,38.9679664
1697,1462805943,243.10,20.6,on,-92.2709868,38.9724514
1657,1462805940,323.70,4.8,on,-92.2592875,38.9679664
1697,1462805943,243.10,20.6,on,-92.2709868,38.9724514
1657,1462805940,323.70,4.8,on,-92.2592875,38.9679664
1697,1462805943,243.10,20.6,on,-92.2709868,38.9724514
1657,1462805940,323.70,4.8,on,-92.2592875,38.9679664
1697,1462805943,243.10,20.6,on,-92.2709868,38.9724514
1657,1462805950,306.20,4.6,on,-92.2594279,38.9681129
1697,1462805943,243.10,20.6,on,-92.2709868,38.9724514
1657,1462805950,306.20,4.6,on,-92.2594279,38.9681129
1697,1462805943,243.10,20.6,on,-92.2709868,38.9724514
1657,1462805950,306.20,4.6,on,-92.2594279,38.9681129
1697,1462805953,270.50,20.4,on,-92.2719595,38.9722277
1657,1462805950,306.20,4.6,on,-92.2594279,38.9681129
1697,1462805953,270.50,20.4,on,-92.2719595,38.9722277
1657,1462805950,306.20,4.6,on,-92.2594279,38.9681129
1697,1462805953,270.50,20.4,on,-92.2719595,38.9722277
1657,1462805950,306.20,4.6,on,-92.2594279,38.9681129
1697,1462805953,270.50,20.4,on,-92.2719595,38.9722277
1657,1462805950,306.20,4.6,on,-92.2594279,38.9681129
1697,1462805953,270.50,20.4,on,-92.2719595,38.9722277
1657,1462805950,306.20,4.6,on,-92.2594279,38.9681129
1697,1462805953,270.50,20.4,on,-92.2719595,38.9722277
1657,1462805950,306.20,4.6,on,-92.2594279,38.9681129
1697,1462805953,270.50,20.4,on,-92.2719595,38.9722277
1657,1462805960,329.60,6,on,-92.2596068,38.9683109
1697,1462805953,270.50,20.4,on,-92.2719595,38.9722277
1657,1462805960,329.60,6,on,-92.2596068,38.9683109
1697,1462805953,270.50,20.4,on,-92.2719595,38.9722277
1657,1462805960,329.60,6,on,-92.2596068,38.9683109
1697,1462805953,270.50,20.4,on,-92.2719595,38.9722277
1657,1462805960,329.60,6,on,-92.2596068,38.9683109
1697,1462805963,274.20,23.4,on,-92.2730819,38.9722912
1657,1462805960,329.60,6,on,-92.2596068,38.9683109
1697,1462805963,274.20,23.4,on,-92.2730819,38.9722912
1657,1462805960,329.60,6,on,-92.2596068,38.9683109
1697,1462805963,274.20,23.4,on,-92.2730819,38.9722912
1657,1462805960,329.60,6,on,-92.2596068,38.9683109
1697,1462805963,274.20,23.4,on,-92.2730819,38.9722912
1657,1462805960,329.60,6,on,-92.2596068,38.9683109
1697,1462805963,274.20,23.4,on,-92.2730819,38.9722912
1657,1462805960,329.60,6,on,-92.2596068,38.9683109
1697,1462805963,274.20,23.4,on,-92.2730819,38.9722912
1657,1462805970,311.60,4.2,on,-92.2597719,38.9684413
1697,1462805963,274.20,23.4,on,-92.2730819,38.9722912
1657,1462805970,311.60,4.2,on,-92.2597719,38.9684413
1697,1462805963,274.20,23.4,on,-92.2730819,38.9722912
1657,1462805970,311.60,4.2,on,-92.2597719,38.9684413
1697,1462805963,274.20,23.4,on,-92.2730819,38.9722912
1657,1462805970,311.60,4.2,on,-92.2597719,38.9684413
1697,1462805973,274.70,23.3,on,-92.2743603,38.9723574
1657,1462805970,311.60,4.2,on,-92.2597719,38.9684413
1697,1462805973,274.70,23.3,on,-92.2743603,38.9723574
1657,1462805970,311.60,4.2,on,-92.2597719,38.9684413
1697,1462805973,274.70,23.3,on,-92.2743603,38.9723574
1657,1462805970,311.60,4.2,on,-92.2597719,38.9684413
1697,1462805973,274.70,23.3,on,-92.2743603,38.9723574
1657,1462805970,311.60,4.2,on,-92.2597719,38.9684413
1697,1462805973,274.70,23.3,on,-92.2743603,38.9723574
1657,1462805970,311.60,4.2,on,-92.2597719,38.9684413
1697,1462805973,274.70,23.3,on,-92.2743603,38.9723574
1657,1462805980,307.70,4.5,on,-92.259957,38.9685582
1697,1462805973,274.70,23.3,on,-92.2743603,38.9723574
1657,1462805980,307.70,4.5,on,-92.259957,38.9685582
1697,1462805973,274.70,23.3,on,-92.2743603,38.9723574
1657,1462805980,307.70,4.5,on,-92.259957,38.9685582
1697,1462805983,231.90,24.6,on,-92.2754692,38.9720754
1657,1462805980,307.70,4.5,on,-92.259957,38.9685582
1697,1462805983,231.90,24.6,on,-92.2754692,38.9720754
1657,1462805980,307.70,4.5,on,-92.259957,38.9685582
1697,1462805983,231.90,24.6,on,-92.2754692,38.9720754
1657,1462805980,307.70,4.5,on,-92.259957,38.9685582
1697,1462805983,231.90,24.6,on,-92.2754692,38.9720754
1657,1462805987,292.60,0,on,-92.2600842,38.968625
1697,1462805983,231.90,24.6,on,-92.2754692,38.9720754
1657,1462805988,283.80,4.7,on,-92.2601087,38.9686287
1697,1462805983,231.90,24.6,on,-92.2754692,38.9720754
1657,1462805988,283.80,4.7,on,-92.2601087,38.9686287
1697,1462805983,231.90,24.6,on,-92.2754692,38.9720754
1657,1462805988,283.80,4.7,on,-92.2601087,38.9686287
1697,1462805983,231.90,24.6,on,-92.2754692,38.9720754
1657,1462805988,283.80,4.7,on,-92.2601087,38.9686287
1697,1462805993,223.60,24.2,on,-92.2763869,38.9713827
1657,1462805988,283.80,4.7,on,-92.2601087,38.9686287
1697,1462805993,223.60,24.2,on,-92.2763869,38.9713827
1657,1462805988,283.80,4.7,on,-92.2601087,38.9686287
1697,1462805993,223.60,24.2,on,-92.2763869,38.9713827
1657,1462805988,283.80,4.7,on,-92.2601087,38.9686287
1697,1462805993,223.60,24.2,on,-92.2763869,38.9713827
1657,1462805988,283.80,4.7,on,-92.2601087,38.9686287
1697,1462805993,223.60,24.2,on,-92.2763869,38.9713827
1657,1462805998,306.00,4.9,on,-92.260356,38.968783
1697,1462805993,223.60,24.2,on,-92.2763869,38.9713827
1657,1462805998,306.00,4.9,on,-92.260356,38.968783
1697,1462805993,223.60,24.2,on,-92.2763869,38.9713827
1657,1462805998,306.00,4.9,on,-92.260356,38.968783
1697,1462805993,223.60,24.2,on,-92.2763869,38.9713827
1657,1462805998,306.00,4.9,on,-92.260356,38.968783
1697,1462806003,223.80,23.5,on,-92.2772338,38.9707073
1657,1462805998,306.00,4.9,on,-92.260356,38.968783
1697,1462806003,223.80,23.5,on,-92.2772338,38.9707073
1657,1462805998,306.00,4.9,on,-92.260356,38.968783
1697,1462806003,223.80,23.5,on,-92.2772338,38.9707073
1657,1462805998,306.00,4.9,on,-92.260356,38.968783
1697,1462806003,223.80,23.5,on,-92.2772338,38.9707073
1657,1462806008,306.50,4.9,on,-92.2605802,38.9689096
1697,1462806003,223.80,23.5,on,-92.2772338,38.9707073
1657,1462806008,306.50,4.9,on,-92.2605802,38.9689096
1697,1462806003,223.80,23.5,on,-92.2772338,38.9707073
1657,1462806008,306.50,4.9,on,-92.2605802,38.9689096
1697,1462806003,223.80,23.5,on,-92.2772338,38.9707073
1657,1462806008,306.50,4.9,on,-92.2605802,38.9689096
1697,1462806013,233.70,20.8,on,-92.2781456,38.9700923
1657,1462806008,306.50,4.9,on,-92.2605802,38.9689096
1697,1462806013,233.70,20.8,on,-92.2781456,38.9700923
1657,1462806015,348.30,0,on,-92.2606078,38.9689951
1697,1462806013,233.70,20.8,on,-92.2781456,38.9700923
1657,1462806015,348.30,0,on,-92.2606078,38.9689951
1697,1462806013,233.70,20.8,on,-92.2781456,38.9700923
