time,long,lat,speed,heading,odometer,power
1455122633,-92.3531788,38.9225586,4.1,176.3,160581325.0,on
1455122633,-92.3531788,38.9225586,4.1,176.3,160581325.0,on
1455122633,-92.3531788,38.9225586,4.1,176.3,160581325.0,on
1455122633,-92.3531788,38.9225586,4.1,176.3,160581325.0,on
1455122633,-92.3531788,38.9225586,4.1,176.3,160581325.0,on
1455122633,-92.3531788,38.9225586,4.1,176.3,160581325.0,on
1455122633,-92.3531788,38.9225586,4.1,176.3,160581325.0,on
1455122633,-92.3531788,38.9225586,4.1,176.3,160581325.0,on
1455122633,-92.3531788,38.9225586,4.1,176.3,160581325.0,on
1455122633,-92.3531788,38.9225586,4.1,176.3,160581325.0,on
1455122633,-92.3531788,38.9225586,4.1,176.3,160581325.0,on
1455122633,-92.3531788,38.9225586,4.1,176.3,160581325.0,on
1455122633,-92.3531788,38.9225586,4.1,176.3,160581325.0,on
1455122633,-92.3531788,38.9225586,4.1,176.3,160581325.0,on
1455122633,-92.3531788,38.9225586,4.1,176.3,160581325.0,on
1455122633,-92.3531788,38.9225586,4.1,176.3,160581325.0,on
1455122633,-92.3531788,38.9225586,4.1,176.3,160581325.0,on
1455122633,-92.3531788,38.9225586,4.1,176.3,160581325.0,on
1455122633,-92.3531788,38.9225586,4.1,176.3,160581325.0,on
1455122633,-92.3531788,38.9225586,4.1,176.3,160581325.0,on
1455122633,-92.3531788,38.9225586,4.1,176.3,160581325.0,on
1455122633,-92.3531788,38.9225586,4.1,176.3,160581325.0,on
1455122633,-92.3531788,38.9225586,4.1,176.3,160581325.0,on
1455122633,-92.3531788,38.9225586,4.1,176.3,160581325.0,on
1455122633,-92.3531788,38.9225586,4.1,176.3,160581325.0,on
1455122633,-92.3531788,38.9225586,4.1,176.3,160581325.0,on
1455122633,-92.3531788,38.9225586,4.1,176.3,160581325.0,on
1455122633,-92.3531788,38.9225586,4.1,176.3,160581325.0,on
1455122633,-92.3531788,38.9225586,4.1,176.3,160581325.0,on
1455122706,-92.3538461,38.921046,0.0,179.5,160581550.0,on
1455122706,-92.3538461,38.921046,0.0,179.5,160581550.0,on
1455122712,-92.3538413,38.9210483,4.5,179.5,160581550.0,on
1455122712,-92.3538413,38.9210483,4.5,179.5,160581550.0,on
1455122712,-92.3538413,38.9210483,4.5,179.5,160581550.0,on
1455122712,-92.3538413,38.9210483,4.5,179.5,160581550.0,on
1455122712,-92.3538413,38.9210483,4.5,179.5,160581550.0,on
1455122712,-92.3538413,38.9210483,4.5,179.5,160581550.0,on
1455122712,-92.3538413,38.9210483,4.5,179.5,160581550.0,on
1455122712,-92.3538413,38.9210483,4.5,179.5,160581550.0,on
1455122712,-92.3538413,38.9210483,4.5,179.5,160581550.0,on
1455122732,-92.3542825,38.920414,0.0,228.7,160581630.0,on
1455122740,-92.3542984,38.9204044,5.6,230.0,160581635.0,on
1455122740,-92.3542984,38.9204044,5.6,230.0,160581635.0,on
1455122740,-92.3542984,38.9204044,5.6,230.0,160581635.0,on
1455122740,-92.3542984,38.9204044,5.6,230.0,160581635.0,on
1455122740,-92.3542984,38.9204044,5.6,230.0,160581635.0,on
1455122740,-92.3542984,38.9204044,5.6,230.0,160581635.0,on
1455122740,-92.3542984,38.9204044,5.6,230.0,160581635.0,on
1455122740,-92.3542984,38.9204044,5.6,230.0,160581635.0,on
1455122740,-92.3542984,38.9204044,5.6,230.0,160581635.0,on
1455122740,-92.3542984,38.9204044,5.6,230.0,160581635.0,on
1455122740,-92.3542984,38.9204044,5.6,230.0,160581635.0,on
1455122740,-92.3542984,38.9204044,5.6,230.0,160581635.0,on
1455122740,-92.3542984,38.9204044,5.6,230.0,160581635.0,on
1455122740,-92.3542984,38.9204044,5.6,230.0,160581635.0,on
1455122740,-92.3542984,38.9204044,5.6,230.0,160581635.0,on
1455122770,-92.3550161,38.9201517,0.0,48.3,160581730.0,on
1455122770,-92.3550161,38.9201517,0.0,48.3,160581730.0,on
1455122780,-92.3550129,38.9201508,3.8,45.8,160581735.0,on
1455122780,-92.3550129,38.9201508,3.8,45.8,160581735.0,on
1455122780,-92.3550129,38.9201508,3.8,45.8,160581735.0,on
1455122780,-92.3550129,38.9201508,3.8,45.8,160581735.0,on
1455122780,-92.3550129,38.9201508,3.8,45.8,160581735.0,on
1455122780,-92.3550129,38.9201508,3.8,45.8,160581735.0,on
1455122780,-92.3550129,38.9201508,3.8,45.8,160581735.0,on
1455122780,-92.3550129,38.9201508,3.8,45.8,160581735.0,on
1455122780,-92.3550129,38.9201508,3.8,45.8,160581735.0,on
1455122780,-92.3550129,38.9201508,3.8,45.8,160581735.0,on
1455122780,-92.3550129,38.9201508,3.8,45.8,160581735.0,on
1455122780,-92.3550129,38.9201508,3.8,45.8,160581735.0,on
1455122780,-92.3550129,38.9201508,3.8,45.8,160581735.0,on
1455122780,-92.3550129,38.9201508,3.8,45.8,160581735.0,on
1455122780,-92.3550129,38.9201508,3.8,45.8,160581735.0,on
1455122810,-92.3542201,38.920434,0.0,39.7,160581810.0,on
1455122815,-92.3542159,38.9204387,4.3,39.7,160581815.0,on
1455122815,-92.3542159,38.9204387,4.3,39.7,160581815.0,on
1455122815,-92.3542159,38.9204387,4.3,39.7,160581815.0,on
1455122815,-92.3542159,38.9204387,4.3,39.7,160581815.0,on
1455122815,-92.3542159,38.9204387,4.3,39.7,160581815.0,on
1455122815,-92.3542159,38.9204387,4.3,39.7,160581815.0,on
1455122815,-92.3542159,38.9204387,4.3,39.7,160581815.0,on
1455122815,-92.3542159,38.9204387,4.3,39.7,160581815.0,on
1455122815,-92.3542159,38.9204387,4.3,39.7,160581815.0,on
1455122815,-92.3542159,38.9204387,4.3,39.7,160581815.0,on
1455122815,-92.3542159,38.9204387,4.3,39.7,160581815.0,on
1455122815,-92.3542159,38.9204387,4.3,39.7,160581815.0,on
1455122815,-92.3542159,38.9204387,4.3,39.7,160581815.0,on
1455122815,-92.3542159,38.9204387,4.3,39.7,160581815.0,on
1455122815,-92.3542159,38.9204387,4.3,39.7,160581815.0,on
1455122815,-92.3542159,38.9204387,4.3,39.7,160581815.0,on
1455122815,-92.3542159,38.9204387,4.3,39.7,160581815.0,on
1455122815,-92.3542159,38.9204387,4.3,39.7,160581815.0,on
1455122815,-92.3542159,38.9204387,4.3,39.7,160581815.0,on
1455122815,-92.3542159,38.9204387,4.3,39.7,160581815.0,on
1455122815,-92.3542159,38.9204387,4.3,39.7,160581815.0,on
1455122864,-92.3542255,38.9222326,0.0,328.8,160582040.0,on
