"Asset ID","Asset No.",Date,Time(CDT),Speed(MPH),Heading,"Log Reason","Distance Traveled(Miles)",Lat,Lon,Zone,Address,Odometer,EXSID,Acceleration(Miles/Hour/Sec),"Status Mask","Fuel Counter(Gallon)","Air Temperature","Average RPM","Average Load","Fuel Level","Outside Pressure","Peak RPM","Average Torque","Boost Pressure","FFilter Dpressure","AFilter Dpressure","DPF Dpressure","Regen Status"
237,225,2017-11-03,1509729029,15.5,91.05,Standard,0,38.9639278,-92.3219542,,,83667.06,,-14,40991,316.93,0,0,0,0,0,0,0,0,0,0,0,0
288,207,2017-11-03,1509729029,0,180.64,"Motion Stop",0,38.9565247,-92.3216642,,,27452.99,,-8,8430623,"6,092.47",0,0,0,0,0,0,0,0,0,0,0,0
241,210,2017-11-03,1509729030,19.9,180.82,Standard,0,38.9630799,-92.3511882,,,60334.15,,-1,40991,0.00,0,0,0,0,0,0,0,0,0,0,0,0
