"Asset ID","Asset No.",Date,Time(CDT),Speed(MPH),Heading,"Log Reason","Distance Traveled(Miles)",Lat,Lon,Zone,Address,Odometer,EXSID,Acceleration(Miles/Hour/Sec),"Status Mask","Fuel Counter(Gallon)","Air Temperature","Average RPM","Average Load","Fuel Level","Outside Pressure","Peak RPM","Average Torque","Boost Pressure","FFilter Dpressure","AFilter Dpressure","DPF Dpressure","Regen Status"
248,465,2017-11-03,1509733131,3.7,180.53,"Motion Start",0,38.9076053,-92.3099868,,,12318.89,,0,42015,86.09,0,0,0,0,0,0,0,0,0,0,0,0
225,526,2017-11-03,1509733132,8.7,64.71,"Motion Start",0,38.9322938,-92.3740968,,,36205.25,,18,42015,650.97,0,0,0,0,0,0,0,0,0,0,0,0
248,465,2017-11-03,1509733134,0,178.91,"Motion Stop",0,38.9075306,-92.3100026,,,12318.91,,-11,42015,86.09,0,0,0,0,0,0,0,0,0,0,0,0
272,541,2017-11-03,1509733134,0,0.12,"Motion Stop",0,38.9549307,-92.3422927,,,12164.74,,-14,9247,0.00,0,0,0,0,0,0,0,0,0,0,0,0
244,562,2017-11-03,1509733136,6.2,180.53,Standard,0,38.9076119,-92.3100427,,,18072.15,,-14,40991,0.00,0,0,0,0,0,0,0,0,0,0,0,0
265,505,2017-11-03,1509733137,3.6,354.75,"Motion Start",0,38.9658428,-92.3191814,"Grissum Complex",,24644.58,,2,8430623,"5,089.41",0,0,0,0,0,0,0,0,0,0,0,0
244,562,2017-11-03,1509733139,0,179.75,"Motion Stop",0,38.9076103,-92.3100436,,,18072.15,,-1,42015,0.00,0,0,0,0,0,0,0,0,0,0,0,0
